SaleID,Date,Product,Quantity,Price,Total,Region
1,2020-01-01,Laptop,4,800,2080.82,West
2,2020-01-02,Charger,2,25,30.56,West
3,2020-01-03,Phone,5,600,1902.04,North
4,2020-01-03,Phone,3,600,1071.27,West
5,2020-01-04,Charger,5,25,83.99,East
6,2020-01-04,Tablet,5,400,1206.49,East
7,2020-01-04,Tablet,1,400,251.97,South
8,2020-01-05,Charger,5,25,81.57,West
9,2020-01-05,Tablet,1,400,251.27,North
10,2020-01-06,Monitor,3,300,502.38,North
11,2020-01-07,Phone,1,600,388.54,East
12,2020-01-07,Monitor,3,300,501.52,East
13,2020-01-07,Phone,2,600,754.82,East
14,2020-01-08,Phone,5,600,1638.68,West
15,2020-01-09,Charger,5,25,79.0,East
16,2020-01-09,Keyboard,3,50,86.35,North
17,2020-01-09,Tablet,2,400,452.97,West
18,2020-01-09,Monitor,3,300,577.39,West
19,2020-01-10,Charger,3,25,42.94,West
20,2020-01-10,Headphones,4,100,229.27,South
21,2020-01-10,Headphones,5,100,309.48,East
22,2020-01-10,Laptop,4,800,2114.07,North
23,2020-01-12,Phone,5,600,1802.0,South
24,2020-01-13,Phone,4,600,1303.33,West
25,2020-01-13,Tablet,1,400,225.3,South
26,2020-01-14,Monitor,1,300,168.29,West
27,2020-01-14,Keyboard,3,50,92.1,South
28,2020-01-14,Charger,1,25,14.47,East
29,2020-01-15,Monitor,1,300,160.36,East
30,2020-01-15,Charger,5,25,81.9,North
31,2020-01-15,Charger,4,25,65.05,West
32,2020-01-15,Laptop,2,800,907.76,West
33,2020-01-16,Keyboard,3,50,96.63,East
34,2020-01-16,Charger,3,25,48.06,West
35,2020-01-17,Charger,3,25,41.95,West
36,2020-01-17,Mouse,2,30,34.17,West
37,2020-01-17,Tablet,3,400,672.45,West
38,2020-01-18,Phone,2,600,645.22,North
39,2020-01-18,Headphones,5,100,305.13,North
40,2020-01-19,Phone,5,600,1930.95,South
41,2020-01-19,Charger,5,25,70.69,South
42,2020-01-20,Charger,5,25,69.59,East
43,2020-01-20,Laptop,2,800,1009.21,East
44,2020-01-21,Mouse,3,30,48.86,East
45,2020-01-22,Laptop,3,800,1589.77,South
46,2020-01-22,Monitor,4,300,642.35,East
47,2020-01-23,Phone,4,600,1393.1,North
48,2020-01-23,Tablet,4,400,845.19,West
49,2020-01-23,Monitor,3,300,545.96,South
50,2020-01-24,Charger,1,25,14.14,North
51,2020-01-24,Keyboard,3,50,96.4,East
52,2020-01-24,Mouse,1,30,18.8,West
53,2020-01-24,Mouse,2,30,35.1,West
54,2020-01-24,Laptop,4,800,1857.32,South
55,2020-01-26,Tablet,5,400,1120.99,South
56,2020-01-26,Mouse,3,30,52.43,South
57,2020-01-27,Mouse,2,30,33.99,North
58,2020-01-27,Monitor,2,300,330.4,East
59,2020-01-28,Headphones,5,100,305.78,North
60,2020-01-28,Charger,1,25,13.42,North
61,2020-01-28,Charger,1,25,14.39,South
62,2020-01-30,Phone,5,600,1762.28,North
63,2020-01-30,Mouse,5,30,80.93,South
64,2020-01-30,Laptop,4,800,1933.56,West
65,2020-01-31,Tablet,5,400,1157.03,South
66,2020-01-31,Charger,2,25,31.52,North
67,2020-01-31,Tablet,4,400,961.52,East
68,2020-02-01,Monitor,4,300,681.27,West
69,2020-02-01,Mouse,4,30,65.15,South
70,2020-02-02,Charger,3,25,42.0,East
71,2020-02-02,Mouse,3,30,52.31,South
72,2020-02-03,Charger,2,25,32.97,West
73,2020-02-03,Monitor,5,300,909.11,West
74,2020-02-04,Headphones,5,100,303.17,West
75,2020-02-04,Keyboard,1,50,29.19,West
76,2020-02-04,Laptop,1,800,521.43,South
77,2020-02-05,Phone,5,600,1827.34,South
78,2020-02-05,Phone,2,600,761.64,North
79,2020-02-05,Charger,5,25,77.66,West
80,2020-02-05,Phone,2,600,697.45,West
81,2020-02-06,Tablet,4,400,1043.35,West
82,2020-02-06,Keyboard,2,50,66.1,North
83,2020-02-07,Charger,5,25,77.33,North
84,2020-02-08,Laptop,2,800,970.5,East
85,2020-02-08,Charger,3,25,46.14,South
86,2020-02-08,Keyboard,2,50,54.76,South
87,2020-02-08,Phone,5,600,1829.3,North
88,2020-02-08,Headphones,1,100,67.16,West
89,2020-02-08,Laptop,1,800,510.45,East
90,2020-02-09,Monitor,5,300,872.53,West
91,2020-02-09,Phone,3,600,1169.28,South
92,2020-02-09,Keyboard,3,50,84.27,North
93,2020-02-09,Monitor,1,300,184.97,West
94,2020-02-10,Tablet,2,400,522.22,West
95,2020-02-10,Headphones,4,100,245.9,North
96,2020-02-11,Phone,5,600,1870.68,West
97,2020-02-11,Mouse,3,30,55.4,East
98,2020-02-12,Charger,4,25,54.75,East
99,2020-02-12,Headphones,2,100,113.46,West
100,2020-02-12,Phone,3,600,970.88,West
101,2020-02-13,Monitor,5,300,812.64,North
102,2020-02-14,Mouse,3,30,52.48,East
103,2020-02-14,Keyboard,5,50,148.44,West
104,2020-02-14,Monitor,1,300,160.74,East
105,2020-02-15,Tablet,1,400,217.14,North
106,2020-02-16,Phone,2,600,774.73,North
107,2020-02-16,Headphones,2,100,124.08,North
108,2020-02-16,Tablet,5,400,1184.3,North
109,2020-02-16,Mouse,5,30,80.82,South
110,2020-02-16,Mouse,1,30,16.24,East
111,2020-02-16,Phone,1,600,391.2,North
112,2020-02-17,Keyboard,4,50,129.49,East
113,2020-02-17,Mouse,3,30,58.08,West
114,2020-02-17,Laptop,4,800,1993.45,East
